Region,MetropolitanStatus,Exper,Educ,WeeklyEarnings
Midwest,MetropolitanArea,39,13,985.28
Northeast,MetropolitanArea,18,13,574.55
West,MetropolitanArea,7,16,237.42
West,MetropolitanArea,13,13,474.83
South,MetropolitanArea,46,5,395.06
South,MetropolitanArea,17,14,740.74
West,NotMetropolitanArea,8,11,169.45
Northeast,NotMetropolitanArea,0,14,720.16
West,MetropolitanArea,32,12,284.9
West,MetropolitanArea,10,15,522.32
Midwest,NotMetropolitanArea,25,18,522.32
South,MetropolitanArea,33,12,1265.43
South,NotMetropolitanArea,8,10,142.66
Northeast,MetropolitanArea,5,12,356.13
South,MetropolitanArea,37,12,830.96
West,MetropolitanArea,6,15,313.39
Northeast,MetropolitanArea,9,17,593.54
Northeast,MetropolitanArea,19,10,474.83
South,NotMetropolitanArea,26,8,664.77
South,NotMetropolitanArea,15,12,748.55
Midwest,NotMetropolitanArea,37,13,783.48
West,MetropolitanArea,31,14,1068.38
Northeast,MetropolitanArea,29,16,1115.86
Northeast,MetropolitanArea,32,8,593.54
South,NotMetropolitanArea,19,12,641.03
Midwest,MetropolitanArea,2,12,212.16
Northeast,MetropolitanArea,40,17,1187.08
South,MetropolitanArea,20,12,902.18
South,MetropolitanArea,21,18,1020.89
South,NotMetropolitanArea,13,10,403.61
Midwest,MetropolitanArea,3,16,356.13
Northeast,MetropolitanArea,15,11,474.83
Midwest,MetropolitanArea,50,9,1234.57
Midwest,MetropolitanArea,7,12,352.73
Midwest,MetropolitanArea,3,16,403.61
Midwest,MetropolitanArea,24,12,735.99
South,NotMetropolitanArea,13,12,664.77
Northeast,MetropolitanArea,16,12,771.6
South,NotMetropolitanArea,29,12,498.58
Northeast,MetropolitanArea,20,13,522.32
Midwest,MetropolitanArea,21,10,370.37
West,MetropolitanArea,4,12,237.42
Northeast,MetropolitanArea,5,12,451.09
West,MetropolitanArea,2,12,320.51
Midwest,NotMetropolitanArea,4,12,165.88
Midwest,NotMetropolitanArea,23,18,802.47
Northeast,MetropolitanArea,27,12,593.54
Midwest,NotMetropolitanArea,3,17,439.22
Midwest,MetropolitanArea,25,12,275.4
West,MetropolitanArea,18,4,189.93
South,MetropolitanArea,29,14,1115.86
South,MetropolitanArea,23,12,973.41
Northeast,MetropolitanArea,28,8,308.64
West,MetropolitanArea,9,14,332.38
South,MetropolitanArea,5,14,284.9
Midwest,MetropolitanArea,16,10,783.48
West,MetropolitanArea,37,14,925.93
Midwest,MetropolitanArea,17,15,854.7
Midwest,MetropolitanArea,5,12,370.37
South,MetropolitanArea,26,13,1305.79
Midwest,NotMetropolitanArea,11,15,854.7
West,MetropolitanArea,35,14,1329.53
South,MetropolitanArea,17,11,493.83
South,MetropolitanArea,38,12,660.02
Midwest,MetropolitanArea,0,15,448.93
West,MetropolitanArea,6,11,403.61
West,NotMetropolitanArea,19,14,395.51
South,MetropolitanArea,30,12,448.72
Midwest,MetropolitanArea,43,18,382.72
Northeast,NotMetropolitanArea,34,12,522.32
Midwest,MetropolitanArea,24,16,1543.21
Northeast,MetropolitanArea,10,18,1051.33
South,MetropolitanArea,7,13,356.13
Northeast,NotMetropolitanArea,14,13,403.61
Northeast,NotMetropolitanArea,8,12,345.68
West,MetropolitanArea,16,18,1329.53
Northeast,MetropolitanArea,32,10,552.26
Midwest,MetropolitanArea,18,12,925.93
South,MetropolitanArea,14,12,393.52
Midwest,MetropolitanArea,51,12,142.45
West,NotMetropolitanArea,14,15,712.25
South,MetropolitanArea,25,15,237.42
West,MetropolitanArea,10,16,783.48
South,MetropolitanArea,17,13,593.54
West,MetropolitanArea,30,16,949.67
Northeast,NotMetropolitanArea,15,9,284.9
West,MetropolitanArea,21,16,854.7
Northeast,MetropolitanArea,32,18,949.67
Northeast,MetropolitanArea,5,12,415.48
Northeast,MetropolitanArea,9,9,237.42
West,NotMetropolitanArea,11,12,854.7
Midwest,MetropolitanArea,23,11,1187.08
South,NotMetropolitanArea,13,11,434.71
Northeast,MetropolitanArea,5,18,925.93
South,MetropolitanArea,8,16,230.29
West,NotMetropolitanArea,7,16,450.25
South,MetropolitanArea,29,16,308.64
West,MetropolitanArea,39,16,883.19
Midwest,NotMetropolitanArea,17,12,451.09
Midwest,MetropolitanArea,29,12,622.46
Midwest,MetropolitanArea,7,13,546.06
Midwest,MetropolitanArea,7,18,1101.73
South,MetropolitanArea,31,11,555.56
Midwest,MetropolitanArea,38,8,308.64
West,NotMetropolitanArea,36,10,686.78
West,MetropolitanArea,2,12,237.42
South,NotMetropolitanArea,3,12,166.19
West,MetropolitanArea,11,12,415.48
Midwest,MetropolitanArea,6,15,379.87
Midwest,MetropolitanArea,41,14,308.64
Northeast,MetropolitanArea,14,12,410.73
South,MetropolitanArea,6,11,407.41
Northeast,MetropolitanArea,37,18,1092.12
Midwest,MetropolitanArea,11,12,593.54
Northeast,MetropolitanArea,31,13,332.38
Midwest,MetropolitanArea,12,12,195.47
Northeast,NotMetropolitanArea,39,14,403.61
South,MetropolitanArea,45,16,949.67
Midwest,NotMetropolitanArea,20,10,213.68
South,MetropolitanArea,31,17,1725.81
South,MetropolitanArea,23,14,949.67
South,NotMetropolitanArea,30,17,783.38
South,MetropolitanArea,32,12,617.28
South,NotMetropolitanArea,4,15,451.09
Midwest,MetropolitanArea,36,12,759.73
South,NotMetropolitanArea,8,15,484.33
Northeast,MetropolitanArea,8,12,593.54
Northeast,MetropolitanArea,6,14,474.83
South,NotMetropolitanArea,2,12,356.13
Midwest,NotMetropolitanArea,37,12,593.54
Northeast,MetropolitanArea,33,10,462.96
Midwest,MetropolitanArea,18,15,648.31
Northeast,MetropolitanArea,6,15,534.19
West,MetropolitanArea,31,17,1068.38
South,NotMetropolitanArea,19,16,522.32
South,MetropolitanArea,18,12,308.64
Midwest,MetropolitanArea,2,18,398.86
Midwest,MetropolitanArea,37,12,633.76
Midwest,NotMetropolitanArea,7,14,735.99
South,MetropolitanArea,19,12,261.16
Northeast,MetropolitanArea,19,18,2374.15
South,MetropolitanArea,16,14,522.32
South,MetropolitanArea,36,14,515.74
South,NotMetropolitanArea,34,12,919.36
Midwest,NotMetropolitanArea,21,12,702.75
Northeast,MetropolitanArea,16,10,379.87
Northeast,MetropolitanArea,30,11,830.96
West,NotMetropolitanArea,14,16,522.32
South,MetropolitanArea,3,16,284.9
West,MetropolitanArea,12,14,771.6
West,MetropolitanArea,39,9,664.77
Midwest,MetropolitanArea,32,10,851.07
Northeast,NotMetropolitanArea,38,12,522.32
Northeast,MetropolitanArea,27,12,521.26
Northeast,MetropolitanArea,21,14,783.48
South,MetropolitanArea,11,14,406.33
Midwest,MetropolitanArea,37,16,641.03
Midwest,MetropolitanArea,5,11,94.97
West,MetropolitanArea,20,12,403.61
South,MetropolitanArea,10,11,356.13
West,MetropolitanArea,2,16,246.91
West,MetropolitanArea,46,13,339.51
South,NotMetropolitanArea,33,10,261.16
Midwest,MetropolitanArea,16,16,712.25
West,MetropolitanArea,17,16,326.8
Midwest,MetropolitanArea,13,14,569.8
South,MetropolitanArea,20,16,890.31
Northeast,MetropolitanArea,31,12,522.32
South,MetropolitanArea,26,14,1115.86
Midwest,MetropolitanArea,4,17,973.41
Midwest,NotMetropolitanArea,28,13,830.96
South,MetropolitanArea,33,15,232.67
South,MetropolitanArea,22,9,239.86
South,NotMetropolitanArea,18,15,507.05
South,MetropolitanArea,14,14,643.4
Midwest,MetropolitanArea,14,12,783.48
South,MetropolitanArea,21,14,978.16
Midwest,MetropolitanArea,10,18,356.13
Northeast,MetropolitanArea,12,12,664.77
Midwest,MetropolitanArea,15,12,612.54
Northeast,NotMetropolitanArea,6,15,296.3
South,MetropolitanArea,17,12,403.61
Midwest,MetropolitanArea,33,17,854.7
South,NotMetropolitanArea,2,12,172.84
Midwest,NotMetropolitanArea,41,8,498.58
Midwest,NotMetropolitanArea,32,12,403.61
South,MetropolitanArea,8,12,498.58
West,NotMetropolitanArea,13,14,997.15
South,NotMetropolitanArea,25,12,437.24
South,MetropolitanArea,14,18,712.25
South,MetropolitanArea,25,12,403.61
Northeast,MetropolitanArea,20,18,791.64
South,MetropolitanArea,11,12,427.35
Northeast,MetropolitanArea,25,16,1068.38
West,MetropolitanArea,3,17,518.52
Midwest,NotMetropolitanArea,19,12,731.24
Midwest,MetropolitanArea,25,12,751.31
South,MetropolitanArea,34,8,170.94
Northeast,MetropolitanArea,7,14,532.56
West,NotMetropolitanArea,0,15,231.48
South,MetropolitanArea,5,15,546.06
South,MetropolitanArea,23,13,664.77
Midwest,MetropolitanArea,14,12,303.89
West,MetropolitanArea,15,13,474.83
Midwest,MetropolitanArea,12,12,557.93
South,NotMetropolitanArea,8,11,379.87
West,MetropolitanArea,26,17,949.67
Midwest,MetropolitanArea,12,12,522.32
West,MetropolitanArea,23,15,854.7
West,MetropolitanArea,15,13,557.93
Northeast,MetropolitanArea,12,11,498.58
South,MetropolitanArea,20,12,493.83
South,NotMetropolitanArea,38,12,854.7
Northeast,NotMetropolitanArea,35,9,180.04
Midwest,MetropolitanArea,18,18,688.51
Northeast,MetropolitanArea,30,16,1816.24
South,NotMetropolitanArea,36,13,75.31
Northeast,MetropolitanArea,36,12,617.28
South,NotMetropolitanArea,28,14,498.58
Midwest,NotMetropolitanArea,11,16,1377.02
Midwest,MetropolitanArea,41,16,1424.5
South,MetropolitanArea,14,8,398.86
Northeast,MetropolitanArea,3,12,379.87
South,MetropolitanArea,10,12,356.13
Northeast,MetropolitanArea,30,12,522.32
Northeast,MetropolitanArea,16,15,403.61
Northeast,MetropolitanArea,25,12,2018.04
South,NotMetropolitanArea,25,13,427.35
West,MetropolitanArea,28,18,1661.92
South,MetropolitanArea,4,12,498.58
Northeast,NotMetropolitanArea,48,11,415.48
Midwest,MetropolitanArea,5,18,641.03
South,NotMetropolitanArea,8,14,386.2
South,MetropolitanArea,18,12,641.03
Northeast,MetropolitanArea,11,16,712.25
Midwest,MetropolitanArea,18,12,522.32
Northeast,MetropolitanArea,3,12,274.35
Midwest,NotMetropolitanArea,7,11,332.38
South,MetropolitanArea,34,10,332.38
Northeast,NotMetropolitanArea,55,8,207.82
Northeast,MetropolitanArea,22,12,546.06
South,MetropolitanArea,23,16,356.13
West,NotMetropolitanArea,20,12,709.88
South,MetropolitanArea,32,9,208.93
West,MetropolitanArea,46,10,687.96
West,MetropolitanArea,6,12,498.58
West,MetropolitanArea,49,7,121.08
West,MetropolitanArea,19,14,688.51
South,MetropolitanArea,9,16,555.56
West,MetropolitanArea,9,18,1187.08
Northeast,NotMetropolitanArea,6,12,284.9
Northeast,MetropolitanArea,13,12,1305.79
West,MetropolitanArea,35,12,474.83
Midwest,NotMetropolitanArea,42,12,997.15
Midwest,MetropolitanArea,32,13,546.06
South,MetropolitanArea,12,10,735.99
West,MetropolitanArea,20,13,759.73
Midwest,NotMetropolitanArea,13,12,569.8
South,MetropolitanArea,54,6,206.55
Northeast,MetropolitanArea,8,12,403.61
Midwest,MetropolitanArea,3,11,218.11
Northeast,MetropolitanArea,31,16,593.54
West,NotMetropolitanArea,5,16,227.92
West,MetropolitanArea,12,18,949.67
West,MetropolitanArea,34,12,688.51
West,NotMetropolitanArea,5,12,427.35
Midwest,MetropolitanArea,13,12,593.54
West,NotMetropolitanArea,15,13,823.05
Northeast,MetropolitanArea,4,12,522.32
West,MetropolitanArea,5,14,455.84
South,MetropolitanArea,12,14,633.9
South,MetropolitanArea,38,8,653.59
West,MetropolitanArea,41,12,534.19
Midwest,NotMetropolitanArea,10,14,462.96
Northeast,MetropolitanArea,36,12,1080.25
Midwest,NotMetropolitanArea,19,18,807.22
Midwest,MetropolitanArea,17,16,474.83
Northeast,MetropolitanArea,34,12,857.08
South,MetropolitanArea,14,18,997.15
Midwest,MetropolitanArea,37,13,712.25
West,MetropolitanArea,32,18,387.8
South,MetropolitanArea,10,10,92.59
West,MetropolitanArea,23,14,1068.38
West,MetropolitanArea,18,16,1187.08
Midwest,MetropolitanArea,9,12,151.95
South,MetropolitanArea,11,15,1068.38
Midwest,NotMetropolitanArea,14,12,498.58
Northeast,NotMetropolitanArea,5,12,284.9
Midwest,NotMetropolitanArea,12,16,458.21
Midwest,NotMetropolitanArea,23,13,490.72
Northeast,MetropolitanArea,12,12,546.06
Northeast,MetropolitanArea,9,12,362.14
South,NotMetropolitanArea,7,9,403.61
South,NotMetropolitanArea,13,12,356.13
South,NotMetropolitanArea,11,16,878.44
Northeast,MetropolitanArea,17,18,1211.18
South,NotMetropolitanArea,15,12,700.7
West,MetropolitanArea,1,12,116.19
Northeast,MetropolitanArea,14,16,711.06
West,MetropolitanArea,13,12,326.02
West,NotMetropolitanArea,39,12,427.35
Northeast,MetropolitanArea,44,11,308.64
South,MetropolitanArea,10,12,474.83
West,MetropolitanArea,12,14,747.86
West,MetropolitanArea,16,17,746.11
South,MetropolitanArea,42,15,379.87
South,MetropolitanArea,4,11,360.08
West,MetropolitanArea,35,12,593.54
Northeast,NotMetropolitanArea,43,9,569.8
Northeast,NotMetropolitanArea,44,10,641.03
Northeast,MetropolitanArea,5,18,878.44
South,MetropolitanArea,5,9,308.64
South,MetropolitanArea,6,14,356.13
Northeast,NotMetropolitanArea,16,14,997.15
West,NotMetropolitanArea,17,6,158.28
Midwest,NotMetropolitanArea,14,17,541.38
Northeast,MetropolitanArea,24,12,854.7
Northeast,MetropolitanArea,31,12,688.51
Midwest,MetropolitanArea,24,12,593.54
West,MetropolitanArea,57,2,142.45
South,NotMetropolitanArea,12,12,284.9
South,MetropolitanArea,8,12,415.48
West,MetropolitanArea,21,13,534.19
Midwest,NotMetropolitanArea,6,12,290.24
Northeast,MetropolitanArea,42,12,284.9
Midwest,NotMetropolitanArea,33,12,854.7
South,MetropolitanArea,33,15,712.25
South,MetropolitanArea,19,10,376.95
South,NotMetropolitanArea,8,15,249.29
Northeast,MetropolitanArea,38,14,925.93
West,NotMetropolitanArea,6,12,498.58
West,MetropolitanArea,4,12,261.16
Midwest,MetropolitanArea,43,12,807.22
South,NotMetropolitanArea,36,15,427.35
South,NotMetropolitanArea,9,12,339.51
South,MetropolitanArea,13,18,688.51
Midwest,NotMetropolitanArea,6,12,462.96
Northeast,MetropolitanArea,24,14,759.73
Northeast,MetropolitanArea,7,11,225.13
West,MetropolitanArea,8,13,277.78
West,MetropolitanArea,1,11,92.59
Midwest,NotMetropolitanArea,32,12,712.25
Northeast,NotMetropolitanArea,12,12,712.25
South,MetropolitanArea,22,12,759.73
Midwest,NotMetropolitanArea,40,12,664.77
Northeast,MetropolitanArea,3,14,325.68
Midwest,MetropolitanArea,40,11,115.74
West,NotMetropolitanArea,22,13,1009.02
West,MetropolitanArea,33,14,1118.83
West,MetropolitanArea,38,12,854.7
Northeast,MetropolitanArea,30,12,557.93
West,MetropolitanArea,21,18,1187.08
South,NotMetropolitanArea,5,15,379.87
Northeast,MetropolitanArea,14,12,474.83
South,NotMetropolitanArea,28,12,342.94
Northeast,MetropolitanArea,7,16,498.58
West,MetropolitanArea,28,17,332.38
Midwest,NotMetropolitanArea,20,17,712.25
South,MetropolitanArea,22,12,759.73
Northeast,MetropolitanArea,17,16,997.15
South,NotMetropolitanArea,7,9,191.36
Northeast,MetropolitanArea,35,12,830.96
Northeast,MetropolitanArea,21,13,317.92
West,MetropolitanArea,4,14,302.47
South,MetropolitanArea,1,11,288.89
Northeast,MetropolitanArea,15,14,1068.38
Midwest,MetropolitanArea,24,12,902.18
Northeast,MetropolitanArea,48,10,641.03
West,MetropolitanArea,2,12,284.9
Midwest,MetropolitanArea,17,12,427.35
South,MetropolitanArea,42,12,719.3
Midwest,MetropolitanArea,48,7,209.88
South,NotMetropolitanArea,0,12,205.76
South,MetropolitanArea,21,18,1358.02
Midwest,NotMetropolitanArea,20,12,700.38
Midwest,NotMetropolitanArea,13,12,129.18
Northeast,MetropolitanArea,30,17,593.54
Northeast,MetropolitanArea,2,12,427.35
South,MetropolitanArea,32,12,593.54
West,MetropolitanArea,13,18,1139.6
Midwest,MetropolitanArea,6,14,491.45
South,MetropolitanArea,1,14,237.42
South,NotMetropolitanArea,6,12,235.16
South,NotMetropolitanArea,13,11,427.35
South,MetropolitanArea,37,12,168.35
Northeast,NotMetropolitanArea,34,10,522.32
Northeast,MetropolitanArea,12,15,237.42
West,MetropolitanArea,18,12,415.48
Midwest,NotMetropolitanArea,12,12,211.87
Northeast,NotMetropolitanArea,19,12,593.54
South,MetropolitanArea,10,14,1044.63
Midwest,MetropolitanArea,42,18,427.35
South,MetropolitanArea,9,12,118.71
Midwest,NotMetropolitanArea,14,12,490.5
West,NotMetropolitanArea,22,14,416.29
West,MetropolitanArea,12,12,166.19
South,MetropolitanArea,34,15,586.42
South,MetropolitanArea,27,14,1044.63
Midwest,NotMetropolitanArea,15,18,304.84
South,MetropolitanArea,24,16,949.67
West,MetropolitanArea,35,15,878.44
West,NotMetropolitanArea,15,13,529.53
South,MetropolitanArea,28,16,949.67
West,MetropolitanArea,8,12,118.71
Northeast,MetropolitanArea,14,12,493.83
South,NotMetropolitanArea,16,10,759.73
West,MetropolitanArea,28,6,237.42
Northeast,MetropolitanArea,29,16,1424.5
South,MetropolitanArea,16,14,759.73
Midwest,NotMetropolitanArea,19,16,296.3
South,NotMetropolitanArea,8,18,451.09
West,MetropolitanArea,9,17,694.79
South,MetropolitanArea,22,16,166.19
West,MetropolitanArea,15,16,669.52
South,MetropolitanArea,9,12,356.13
West,MetropolitanArea,11,18,712.25
Midwest,MetropolitanArea,25,16,427.35
Midwest,MetropolitanArea,26,8,1068.38
South,MetropolitanArea,26,17,2374.15
West,MetropolitanArea,29,18,1365.15
Northeast,NotMetropolitanArea,18,12,782.9
Northeast,MetropolitanArea,6,16,664.77
Northeast,MetropolitanArea,8,13,474.83
Midwest,MetropolitanArea,2,15,356.13
Midwest,MetropolitanArea,43,12,830.96
Northeast,MetropolitanArea,21,12,712.25
Northeast,MetropolitanArea,4,16,712.25
Northeast,MetropolitanArea,25,16,854.7
South,MetropolitanArea,22,17,949.67
South,MetropolitanArea,27,12,154.32
Northeast,NotMetropolitanArea,37,9,546.06
Midwest,MetropolitanArea,8,16,1246.44
West,MetropolitanArea,39,3,668.72
South,MetropolitanArea,20,11,522.32
West,MetropolitanArea,18,3,246.91
South,MetropolitanArea,3,15,244.54
South,MetropolitanArea,16,12,370.37
Midwest,MetropolitanArea,6,13,248.1
West,NotMetropolitanArea,2,12,481.48
Midwest,NotMetropolitanArea,39,7,356.13
Northeast,MetropolitanArea,14,12,650.52
South,NotMetropolitanArea,8,12,373.24
Midwest,MetropolitanArea,16,9,949.67
Northeast,MetropolitanArea,49,14,1305.79
South,MetropolitanArea,16,16,641.03
South,NotMetropolitanArea,4,12,379.87
South,MetropolitanArea,13,12,278.02
Midwest,MetropolitanArea,32,15,573.19
West,MetropolitanArea,15,13,807.22
Northeast,MetropolitanArea,14,16,1543.21
Northeast,MetropolitanArea,18,18,1187.08
Northeast,MetropolitanArea,0,12,92.59
South,MetropolitanArea,10,12,534.19
West,MetropolitanArea,8,14,617.28
Northeast,MetropolitanArea,31,16,1305.79
Northeast,MetropolitanArea,0,16,237.42
Northeast,MetropolitanArea,5,14,902.18
West,NotMetropolitanArea,10,12,273.03
South,MetropolitanArea,4,16,308.64
Northeast,NotMetropolitanArea,11,12,403.61
South,MetropolitanArea,9,16,382.24
South,MetropolitanArea,3,12,249.0
West,MetropolitanArea,0,14,256.41
South,MetropolitanArea,10,15,593.54
West,MetropolitanArea,13,16,830.96
Northeast,MetropolitanArea,17,12,403.61
South,NotMetropolitanArea,5,18,949.67
West,MetropolitanArea,17,12,878.44
South,NotMetropolitanArea,15,12,1020.89
South,MetropolitanArea,11,14,379.87
Northeast,MetropolitanArea,26,18,2374.15
Northeast,MetropolitanArea,11,12,830.96
South,NotMetropolitanArea,12,16,830.96
Northeast,MetropolitanArea,4,18,997.15
West,MetropolitanArea,48,8,297.53
South,NotMetropolitanArea,3,11,566.24
Northeast,MetropolitanArea,13,16,1115.86
West,NotMetropolitanArea,34,12,1424.5
South,MetropolitanArea,9,12,246.91
West,MetropolitanArea,17,15,664.77
West,MetropolitanArea,20,16,1377.02
South,MetropolitanArea,11,15,925.93
Northeast,MetropolitanArea,2,10,224.47
South,NotMetropolitanArea,4,16,199.43
Northeast,MetropolitanArea,12,18,1028.02
West,NotMetropolitanArea,4,13,368.95
Northeast,MetropolitanArea,7,12,94.97
South,MetropolitanArea,14,16,2374.15
Midwest,MetropolitanArea,24,12,308.64
Midwest,MetropolitanArea,11,13,447.53
West,NotMetropolitanArea,33,14,664.77
Northeast,MetropolitanArea,46,5,379.87
Northeast,NotMetropolitanArea,9,12,925.93
West,MetropolitanArea,22,12,403.61
West,NotMetropolitanArea,4,12,96.37
Midwest,NotMetropolitanArea,28,12,171.47
South,MetropolitanArea,2,14,470.31
West,NotMetropolitanArea,5,12,165.43
Northeast,MetropolitanArea,2,12,356.13
Northeast,MetropolitanArea,9,12,395.06
South,NotMetropolitanArea,20,18,669.14
South,MetropolitanArea,15,12,641.03
Midwest,MetropolitanArea,13,13,356.13
Northeast,MetropolitanArea,8,12,854.7
Northeast,MetropolitanArea,51,6,308.64
Midwest,NotMetropolitanArea,22,12,804.84
Northeast,MetropolitanArea,47,12,679.01
Northeast,MetropolitanArea,27,12,522.32
West,MetropolitanArea,10,16,493.83
Northeast,MetropolitanArea,7,12,498.58
Midwest,NotMetropolitanArea,25,10,712.25
South,MetropolitanArea,17,18,685.55
West,MetropolitanArea,18,16,1282.05
Northeast,MetropolitanArea,13,12,579.49
Midwest,NotMetropolitanArea,4,12,166.19
Midwest,NotMetropolitanArea,13,14,356.13
West,MetropolitanArea,21,16,427.35
West,MetropolitanArea,21,17,1498.1
Midwest,MetropolitanArea,25,16,949.67
South,MetropolitanArea,11,12,676.64
Midwest,MetropolitanArea,16,18,1066.0
West,MetropolitanArea,13,6,166.19
West,MetropolitanArea,29,14,925.93
Northeast,MetropolitanArea,19,12,284.9
South,MetropolitanArea,33,11,830.96
Midwest,NotMetropolitanArea,36,11,474.83
Northeast,MetropolitanArea,34,16,795.35
South,MetropolitanArea,22,10,569.8
Midwest,MetropolitanArea,13,11,345.68
Midwest,MetropolitanArea,22,13,593.54
Midwest,NotMetropolitanArea,32,16,1946.82
South,NotMetropolitanArea,15,12,237.42
South,MetropolitanArea,2,12,228.13
Midwest,NotMetropolitanArea,28,16,188.46
Northeast,MetropolitanArea,11,18,973.41
South,MetropolitanArea,17,15,593.54
Northeast,MetropolitanArea,35,12,641.98
South,NotMetropolitanArea,10,10,164.61
Northeast,MetropolitanArea,5,14,676.64
Midwest,NotMetropolitanArea,0,15,246.91
South,MetropolitanArea,8,12,208.33
